id,created_at,source,retweets,favorites,text
687717134890307584,2016-01-14T19:25:16Z,Twitter for Android,NA,NA,Do you think Iran would have acted so tough if they were Russian sailors? Our country was humiliated.
687726670862794752,2016-01-14T20:03:10Z,Twitter for Android,NA,NA,"""@wpjenna: Thousands packed into the Pensacola Bay Center to see Donald Trump tonight... https://t.co/K5lIT2p7fL""  A fantastic evening!"
687726829474562048,2016-01-14T20:03:48Z,Twitter for Android,NA,NA,"""@CLewandowski_: Massive crowd in Pensacola, Florida! Unbelievable! THANK YOU! #VoteTrump https://t.co/9D2tsQaysd"""
687727739516891136,2016-01-14T20:07:25Z,Twitter for Android,NA,NA,"""@ameriflames: @realDonaldTrump @CLewandowski_ no one wants a Bush or a Clinton, they want a straight shooter like TRUMP!"""
687728866698342400,2016-01-14T20:11:53Z,Twitter for Android,NA,NA,"""@_BScarb: Enjoyed watching @realDonaldTrump at his rally yesterday!  I've never seen the Bay Center that packed! https://t.co/ZXDKA5TYBo"""
687779981800390656,2016-01-14T23:35:00Z,Twitter for iPhone,NA,NA,WSJ/NBC Poll: Donald Trump Widens His Lead in Republican Presidential Race. #Trump2016 https://t.co/r2i8FHPjB4
688017079996407808,2016-01-15T15:17:09Z,Twitter for Android,NA,NA,"Jeb Bush, who did poorly last night in the debate and whose chances of winning are zero, just got Graham endorsement. Graham quit at O."
688020474744467456,2016-01-15T15:30:38Z,Twitter for Android,NA,NA,Sen. Lindsey Graham embarrassed himself with his failed run for President and now further embarrasses himself with endorsement of Bush.
688084656072298496,2016-01-15T19:45:40Z,Twitter for iPhone,NA,NA,"Top searched candidate by state, as seen in the #GOPDebate media filing center. WE WILL MAKE AMERICA GREAT AGAIN! https://t.co/nwKPRmWFNr"
688095530036146176,2016-01-15T20:28:53Z,Twitter Web Client,NA,NA,"RT @JaniceTaylor912: @DonaldJTrumpJr @Reryan08 @IvankaTrump @EricTrump obvious to all that he raised some GREAT, responsible, patriotic kid…"
688105040104435712,2016-01-15T21:06:40Z,Twitter for Android,NA,NA,Jusr watched  #HarveyPitt on @TeamCavuto - he was great!
