"Area","Length","Width","Eccentricity","Perimeter","TotalDye1","MeanDye1","TotalDye2","MeanDye2","TotalDye3","MeanDye3","Drug"
212,29.98927465,9.534221852,0.948117188,67.84062043,384757,1814.891509,20017,94.41981132,352758,1663.95283,"DrugB"
293,36.93379343,10.60770189,0.95786807,81.49747468,27480,93.7883959,29566,100.9078498,235347,803.2320819,"DrugB"
218,30.06124164,10.38999388,0.938371772,68.18376618,26859,123.206422,18150,83.25688073,135568,621.8715596,"DrugB"
557,66.9413679,11.52350695,0.985071921,142.6690476,35491,63.71813285,12645,22.70197487,80788,145.0412926,"DrugE"
120,19.14992328,8.201584852,0.903644703,44.627417,22401,186.675,59788,498.2333333,147036,1225.3,"DrugF"
228,25.85097653,11.37475544,0.897991598,60.87005769,474736,2082.175439,167238,733.5,200961,881.4078947,"DrugA"
286,33.26370738,11.22584597,0.941332591,74.76955262,637538,2229.153846,267730,936.1188811,355717,1243.765734,"DrugA"
324,28.31321507,17.3128159,0.79126395,80.28427125,129243,398.8981481,496198,1531.475309,421701,1301.546296,"DrugF"
526,61.50609517,12.48360803,0.979185914,131.4974747,73570,139.8669202,101487,192.9410646,163287,310.4315589,"DrugE"
193,21.84685163,11.35957449,0.854188227,53.69848481,320098,1658.53886,224845,1165,177463,919.4974093,"DrugA"
304,36.70493646,11.06750278,0.953457868,81.84062043,164553,541.2927632,22746,74.82236842,170431,560.6282895,"DrugB"
596,58.20815704,16.76982937,0.957600022,148.9533188,616278,1034.02349,80851,135.6560403,732869,1229.645973,"DrugB"
115,13.98763076,10.63267772,0.649749282,38.38477631,21840,189.9130435,184047,1600.408696,55109,479.2086957,"DrugD"
126,17.86767058,9.140628249,0.859239472,42.04163056,30610,242.9365079,274425,2177.97619,53999,428.5634921,"DrugF"
153,21.58246934,9.236073437,0.903805577,50.87005769,29111,190.2679739,317089,2072.477124,96886,633.2418301,"DrugD"
166,24.45984694,8.98814091,0.930037298,55.79898987,30421,183.2590361,78847,474.9819277,363490,2189.698795,"DrugF"
329,46.98657129,9.875315196,0.977664181,100.0832611,180655,549.1033435,184915,562.0516717,370655,1126.610942,"DrugC"
135,23.66802438,7.698615613,0.945619481,52.87005769,63091,467.3407407,121040,896.5925926,45665,338.2592593,"DrugC"
284,46.11182919,10.17934182,0.975329661,99.05382387,31911,112.3626761,38623,135.9964789,291444,1026.211268,"DrugB"
499,44.14672532,14.80383603,0.942099809,103.2964646,59539,119.3166333,10544,21.13026052,96613,193.6132265,"DrugE"
274,28.49316765,15.67475891,0.835083361,91.35533906,38722,141.3211679,360414,1315.379562,269010,981.7883212,"DrugD"
265,35.83768369,12.61517969,0.935996694,95.254834,78281,295.4,609699,2300.750943,188126,709.909434,"DrugF"
540,37.95207275,30.99978067,0.576901246,143.5391052,65956,122.1407407,77218,142.9962963,525939,973.9611111,"DrugB"
453,41.46783927,14.06456775,0.940725788,95.254834,35189,77.6799117,6693,14.77483444,30535,67.40618102,"DrugE"
996,72.60624023,21.17609821,0.956523055,232.509668,210292,211.1365462,146526,147.1144578,870192,873.686747,"DrugA"
152,20.05830019,9.85185766,0.871068729,48.627417,40150,264.1447368,346894,2282.197368,88891,584.8092105,"DrugD"
125,15.15083723,11.30838193,0.665512614,42.627417,49324,394.592,247169,1977.352,50659,405.272,"DrugF"
1071,105.2646124,24.47659887,0.972590545,294.7350647,275983,257.6872082,722258,674.3772176,1099886,1026.971055,"DrugC"
667,79.71709947,12.10569308,0.988402294,165.4974747,323479,484.976012,57021,85.48875562,609612,913.9610195,"DrugB"
206,36.57811169,7.69870186,0.977599689,77.35533906,24216,117.5533981,20324,98.66019417,178387,865.9563107,"DrugB"
211,22.70564834,11.93960531,0.850581673,56.627417,34559,163.7867299,29725,140.8767773,168832,800.1516588,"DrugA"
928,61.51426818,26.37822228,0.90339247,242.9949494,71019,76.52909483,31233,33.65625,162907,175.5463362,"DrugE"
1068,104.6447434,20.927481,0.97979876,282.9360749,207992,194.7490637,506853,474.5814607,956677,895.7649813,"DrugC"
223,23.55148847,12.38602404,0.850538629,59.79898987,22019,98.73991031,46565,208.8116592,149515,670.470852,"DrugC"
234,26.4967098,11.38630509,0.902959697,61.35533906,123822,529.1538462,169642,724.965812,286319,1223.58547,"DrugC"
254,36.87054707,9.83569971,0.963762146,81.11269837,349251,1375.003937,170695,672.0275591,357654,1408.086614,"DrugA"
293,36.26720368,10.6568779,0.955853579,77.74011537,102179,348.7337884,134413,458.7474403,279373,953.4914676,"DrugC"
134,17.56180938,10.04798119,0.820149317,45.55634919,12863,95.99253731,126486,943.9253731,55598,414.9104478,"DrugF"
254,30.52588793,10.80865564,0.935214527,68.42640687,51724,203.6377953,44713,176.0354331,300662,1183.708661,"DrugF"
518,76.5446828,13.16189959,0.985105584,155.3969696,1717315,3315.279923,113780,219.6525097,679036,1310.880309,"DrugA"
347,30.66453529,14.63366168,0.878785061,76.04163056,34321,98.90778098,5236,15.08933718,34774,100.2132565,"DrugE"
166,22.97970281,9.559395481,0.909367816,55.9411255,31275,188.4036145,25769,155.2349398,208854,1258.156627,"DrugB"
